"","fruit","tp_fruit_mean","tp_fruit_sum","tp_fruit_count","tp_fruit_numNA","human_fruit_mean","human_fruit_sum","human_fruit_count","human_fruit_numNA","human_dropped_fruit_mean","human_dropped_fruit_sum","human_dropped_fruit_count","human_dropped_fruit_numNA","animal_dropped_fruit_mean","animal_dropped_fruit_sum","animal_dropped_fruit_count","animal_dropped_fruit_numNA","bat_fruit_mean","bat_fruit_sum","bat_fruit_count","bat_fruit_numNA","rank"
"1","mango",0.861478117258464,4173,4844,212,0.975445544554455,4926,5050,6,0.764554455445545,3861,5050,6,0.303960396039604,1535,5050,6,0.897227722772277,4531,5050,6,1
"2","buroi",0.477085053674649,2311,4844,212,0.951881188118812,4807,5050,6,0.659207920792079,3329,5050,6,0.270693069306931,1367,5050,6,0.809306930693069,4087,5050,6,2
"3","guava",0.643476465730801,3117,4844,212,0.940594059405941,4750,5050,6,0.465940594059406,2353,5050,6,0.206732673267327,1044,5050,6,0.839207920792079,4238,5050,6,3
"4","banana",0.656133828996282,3177,4842,214,0.963564356435644,4866,5050,6,0.0241584158415842,122,5050,6,0.145544554455446,735,5050,6,0.819009900990099,4136,5050,6,4
"5","lichhi",0.204376548307184,990,4844,212,0.903564356435644,4563,5050,6,0.188118811881188,950,5050,6,0.0805940594059406,407,5050,6,0.685742574257426,3463,5050,6,5
"6","betel",0.486374896779521,2356,4844,212,0.824158415841584,4162,5050,6,0.382376237623762,1931,5050,6,0.0132673267326733,67,5050,6,0.54019801980198,2728,5050,6,6
"7","jackfruit",0.696118909991742,3372,4844,212,0.959207920792079,4844,5050,6,0.0611881188118812,309,5050,6,0.181386138613861,916,5050,6,0.526930693069307,2661,5050,6,7
"8","blackberry.jam",0.168455821635012,816,4844,212,0.78,3939,5050,6,0.344554455445545,1740,5050,6,0.0922772277227723,466,5050,6,0.507128712871287,2561,5050,6,8
"9","papaya",0.419694467382329,2033,4844,212,0.888910891089109,4489,5050,6,0.0922772277227723,466,5050,6,0.0823762376237624,416,5050,6,0.518415841584158,2618,5050,6,9
"10","star.fruit",0.154004954582989,746,4844,212,0.767128712871287,3874,5050,6,0.235049504950495,1187,5050,6,0.104950495049505,530,5050,6,0.398019801980198,2010,5050,6,10
"11","palmyra",0.191370767960363,927,4844,212,0.725148514851485,3662,5050,6,0.26990099009901,1363,5050,6,0.0552475247524752,279,5050,6,0.407722772277228,2059,5050,6,11
"12","indian.olive",0.159785301403799,774,4844,212,0.78990099009901,3989,5050,6,0.241188118811881,1218,5050,6,0.0683168316831683,345,5050,6,0.334851485148515,1691,5050,6,12
"13","plum",0.0604872006606111,293,4844,212,0.63009900990099,3182,5050,6,0.212673267326733,1074,5050,6,0.100990099009901,510,5050,6,0.440594059405941,2225,5050,6,13
"14","date.palm",0.287159372419488,1391,4844,212,0.613861386138614,3100,5050,6,0.214257425742574,1082,5050,6,0.0774257425742574,391,5050,6,0.437821782178218,2211,5050,6,14
